#,Table Name,Column Name,Description,Format/Unit of measure,DATA_TYPE,Alter SQL
649,pension.PensionCreditRating,A_CorpBond_MktVal_M,A - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorpBond_MktVal_M decimal(18, 2) null"
650,pension.PensionCreditRating,A_CorpBond_ParVal_M,A - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorpBond_ParVal_M decimal(18, 2) null"
651,pension.PensionCreditRating,Baa_CorpBond_MktVal_M,Baa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CorpBond_MktVal_M decimal(18, 2) null"
652,pension.PensionCreditRating,Baa_CorpBond_ParVal_M,Baa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CorpBond_ParVal_M decimal(18, 2) null"
653,pension.PensionCreditRating,Ba_CorpBond_MktVal_M,Ba - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CorpBond_MktVal_M decimal(18, 2) null"
654,pension.PensionCreditRating,Ba_CorpBond_ParVal_M,Ba - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CorpBond_ParVal_M decimal(18, 2) null"
655,pension.PensionCreditRating,B_CorpBond_MktVal_M,B - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CorpBond_MktVal_M decimal(18, 2) null"
656,pension.PensionCreditRating,B_CorpBond_ParVal_M,B - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CorpBond_ParVal_M decimal(18, 2) null"
657,pension.PensionCreditRating,CaaBelow_CorpBond_MktVal_M,Caa and below - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_CorpBond_MktVal_M decimal(18, 2) null"
658,pension.PensionCreditRating,CaaBelow_CorpBond_ParVal_M,Caa and below - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_CorpBond_ParVal_M decimal(18, 2) null"
659,pension.PensionCreditRating,Unrated_CorpBond_MktVal_M,Unrated - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CorpBond_MktVal_M decimal(18, 2) null"
660,pension.PensionCreditRating,Unrated_CorpBond_ParVal_M,Unrated - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CorpBond_ParVal_M decimal(18, 2) null"
661,pension.PensionCreditRating,Aaa_HighYield_MktVal_M,Aaa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_HighYield_MktVal_M decimal(18, 2) null"
662,pension.PensionCreditRating,Aaa_HighYield_ParVal_M,Aaa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_HighYield_ParVal_M decimal(18, 2) null"
663,pension.PensionCreditRating,Aa_HighYield_MktVal_M,Aa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_HighYield_MktVal_M decimal(18, 2) null"
664,pension.PensionCreditRating,Aa_HighYield_ParVal_M,Aa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_HighYield_ParVal_M decimal(18, 2) null"
665,pension.PensionCreditRating,A_HighYield_MktVal_M,A - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_HighYield_MktVal_M decimal(18, 2) null"
666,pension.PensionCreditRating,A_HighYield_ParVal_M,A - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_HighYield_ParVal_M decimal(18, 2) null"
667,pension.PensionCreditRating,Baa_HighYield_MktVal_M,Baa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_HighYield_MktVal_M decimal(18, 2) null"
668,pension.PensionCreditRating,Baa_HighYield_ParVal_M,Baa - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_HighYield_ParVal_M decimal(18, 2) null"
669,pension.PensionCreditRating,Ba_HighYield_MktVal_M,Ba - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_HighYield_MktVal_M decimal(18, 2) null"
670,pension.PensionCreditRating,Ba_HighYield_ParVal_M,Ba - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_HighYield_ParVal_M decimal(18, 2) null"
671,pension.PensionCreditRating,B_HighYield_MktVal_M,B - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_HighYield_MktVal_M decimal(18, 2) null"
672,pension.PensionCreditRating,B_HighYield_ParVal_M,B - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_HighYield_ParVal_M decimal(18, 2) null"
673,pension.PensionCreditRating,CaaAndBelow_HighYield_MktVal_M,Caa and below - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_HighYield_MktVal_M decimal(18, 2) null"
674,pension.PensionCreditRating,CaaAndBelow_HighYield_ParVal_M,Caa and below - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_HighYield_ParVal_M decimal(18, 2) null"
675,pension.PensionCreditRating,Unrated_HighYield_MktVal_M,Unrated - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_HighYield_MktVal_M decimal(18, 2) null"
676,pension.PensionCreditRating,Unrated_HighYield_ParVal_M,Unrated - High yield,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_HighYield_ParVal_M decimal(18, 2) null"
677,pension.PensionCreditRating,Aaa_EmgMktDebt_MktVal_M,Aaa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_EmgMktDebt_MktVal_M decimal(18, 2) null"
678,pension.PensionCreditRating,Aaa_EmgMktDebt_ParVal_M,Aaa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_EmgMktDebt_ParVal_M decimal(18, 2) null"
679,pension.PensionCreditRating,Aa_EmgMktDebt_MktVal_M,Aa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_EmgMktDebt_MktVal_M decimal(18, 2) null"
680,pension.PensionCreditRating,Aa_EmgMktDebt_ParVal_M,Aa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_EmgMktDebt_ParVal_M decimal(18, 2) null"
681,pension.PensionCreditRating,A_EmgMktDebt_MktVal_M,A - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_EmgMktDebt_MktVal_M decimal(18, 2) null"
682,pension.PensionCreditRating,A_EmgMktDebt_ParVal_M,A - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_EmgMktDebt_ParVal_M decimal(18, 2) null"
683,pension.PensionCreditRating,Baa_EmgMktDebt_MktVal_M,Baa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_EmgMktDebt_MktVal_M decimal(18, 2) null"
684,pension.PensionCreditRating,Baa_EmgMktDebt_ParVal_M,Baa - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_EmgMktDebt_ParVal_M decimal(18, 2) null"
685,pension.PensionCreditRating,Ba_EmgMktDebt_MktVal_M,Ba - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_EmgMktDebt_MktVal_M decimal(18, 2) null"
686,pension.PensionCreditRating,Ba_EmgMktDebt_ParVal_M,Ba - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_EmgMktDebt_ParVal_M decimal(18, 2) null"
687,pension.PensionCreditRating,B_EmgMktDebt_MktVal_M,B - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_EmgMktDebt_MktVal_M decimal(18, 2) null"
688,pension.PensionCreditRating,B_EmgMktDebt_ParVal_M,B - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_EmgMktDebt_ParVal_M decimal(18, 2) null"
689,pension.PensionCreditRating,CaaAndBelow_EmgMktDebt_MktVal_M,Caa and below - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_EmgMktDebt_MktVal_M decimal(18, 2) null"
690,pension.PensionCreditRating,CaaAndBelow_EmgMktDebt_ParVal_M,Caa and below - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_EmgMktDebt_ParVal_M decimal(18, 2) null"
691,pension.PensionCreditRating,Unrated_EmgMktDebt_MktVal_M,Unrated - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_EmgMktDebt_MktVal_M decimal(18, 2) null"
692,pension.PensionCreditRating,Unrated_EmgMktDebt_ParVal_M,Unrated - Emerging market,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_EmgMktDebt_ParVal_M decimal(18, 2) null"
693,pension.PensionCreditRating,Aaa_NonUSGov_MktVal_M,Aaa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_NonUSGov_MktVal_M decimal(18, 2) null"
694,pension.PensionCreditRating,Aaa_NonUSGov_ParVal_M,Aaa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_NonUSGov_ParVal_M decimal(18, 2) null"
695,pension.PensionCreditRating,Aa_NonUSGov_MktVal_M,Aa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_NonUSGov_MktVal_M decimal(18, 2) null"
696,pension.PensionCreditRating,Aa_NonUSGov_ParVal_M,Aa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_NonUSGov_ParVal_M decimal(18, 2) null"
697,pension.PensionCreditRating,A_NonUSGov_MktVal_M,A - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_NonUSGov_MktVal_M decimal(18, 2) null"
698,pension.PensionCreditRating,A_NonUSGov_ParVal_M,A - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_NonUSGov_ParVal_M decimal(18, 2) null"
699,pension.PensionCreditRating,Baa_NonUSGov_MktVal_M,Baa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_NonUSGov_MktVal_M decimal(18, 2) null"
700,pension.PensionCreditRating,Baa_NonUSGov_ParVal_M,Baa - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_NonUSGov_ParVal_M decimal(18, 2) null"
701,pension.PensionCreditRating,Ba_NonUSGov_MktVal_M,Ba - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_NonUSGov_MktVal_M decimal(18, 2) null"
702,pension.PensionCreditRating,Ba_NonUSGov_ParVal_M,Ba - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_NonUSGov_ParVal_M decimal(18, 2) null"
703,pension.PensionCreditRating,B_NonUSGov_MktVal_M,B - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_NonUSGov_MktVal_M decimal(18, 2) null"
704,pension.PensionCreditRating,B_NonUSGov_ParVal_M,B - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_NonUSGov_ParVal_M decimal(18, 2) null"
705,pension.PensionCreditRating,CaaAndBelow_NonUSGov_MktVal_M,Caa and below - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_NonUSGov_MktVal_M decimal(18, 2) null"
706,pension.PensionCreditRating,CaaAndBelow_NonUSGov_ParVal_M,Caa and below - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_NonUSGov_ParVal_M decimal(18, 2) null"
707,pension.PensionCreditRating,Unrated_NonUSGov_MktVal_M,Unrated - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_NonUSGov_MktVal_M decimal(18, 2) null"
708,pension.PensionCreditRating,Unrated_NonUSGov_ParVal_M,Unrated - Non U.S. government,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_NonUSGov_ParVal_M decimal(18, 2) null"
709,pension.PensionCreditRating,Aaa_GlblCorpFix_MktVal_M,Aaa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GlblCorpFix_MktVal_M decimal(18, 2) null"
710,pension.PensionCreditRating,Aaa_GlblCorpFix_ParVal_M,Aaa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GlblCorpFix_ParVal_M decimal(18, 2) null"
711,pension.PensionCreditRating,Aa_GlblCorpFix_MktVal_M,Aa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GlblCorpFix_MktVal_M decimal(18, 2) null"
712,pension.PensionCreditRating,Aa_GlblCorpFix_ParVal_M,Aa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GlblCorpFix_ParVal_M decimal(18, 2) null"
713,pension.PensionCreditRating,A_GlblCorpFix_MktVal_M,A - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GlblCorpFix_MktVal_M decimal(18, 2) null"
714,pension.PensionCreditRating,A_GlblCorpFix_ParVal_M,A - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GlblCorpFix_ParVal_M decimal(18, 2) null"
715,pension.PensionCreditRating,Baa_GlblCorpFix_MktVal_M,Baa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_GlblCorpFix_MktVal_M decimal(18, 2) null"
716,pension.PensionCreditRating,Baa_GlblCorpFix_ParVal_M,Baa - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_GlblCorpFix_ParVal_M decimal(18, 2) null"
717,pension.PensionCreditRating,Ba_GlblCorpFix_MktVal_M,Ba - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_GlblCorpFix_MktVal_M decimal(18, 2) null"
718,pension.PensionCreditRating,Ba_GlblCorpFix_ParVal_M,Ba - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_GlblCorpFix_ParVal_M decimal(18, 2) null"
719,pension.PensionCreditRating,B_GlblCorpFix_MktVal_M,B - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_GlblCorpFix_MktVal_M decimal(18, 2) null"
720,pension.PensionCreditRating,B_GlblCorpFix_ParVal_M,B - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_GlblCorpFix_ParVal_M decimal(18, 2) null"
721,pension.PensionCreditRating,CaaBelow_GlblCorpFix_MktVal_M,Caa and below - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_GlblCorpFix_MktVal_M decimal(18, 2) null"
722,pension.PensionCreditRating,CaaBelow_GlblCorpFix_ParVal_M,Caa and below - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_GlblCorpFix_ParVal_M decimal(18, 2) null"
723,pension.PensionCreditRating,Unrated_GlblCorpFix_MktVal_M,Unrated - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_GlblCorpFix_MktVal_M decimal(18, 2) null"
724,pension.PensionCreditRating,Unrated_GlblCorpFix_ParVal_M,Unrated - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_GlblCorpFix_ParVal_M decimal(18, 2) null"
725,pension.PensionCreditRating,A_CorePlus_MktVal_M,A - Core plus bond fund,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorePlus_MktVal_M decimal(18, 2) null"
726,pension.PensionCreditRating,A_CorePlus_ParVal_M,A - Core plus bond fund,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorePlus_ParVal_M decimal(18, 2) null"
727,pension.PensionCreditRating,Baa_CommLoan_MktVal_M,Baa - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CommLoan_MktVal_M decimal(18, 2) null"
728,pension.PensionCreditRating,Baa_CommLoan_ParVal_M,Baa - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CommLoan_ParVal_M decimal(18, 2) null"
729,pension.PensionCreditRating,Ba_CommLoan_MktVal_M,Ba - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CommLoan_MktVal_M decimal(18, 2) null"
730,pension.PensionCreditRating,Ba_CommLoan_ParVal_M,Ba - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CommLoan_ParVal_M decimal(18, 2) null"
731,pension.PensionCreditRating,B_CommLoan_MktVal_M,B - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CommLoan_MktVal_M decimal(18, 2) null"
732,pension.PensionCreditRating,B_CommLoan_ParVal_M,B - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CommLoan_ParVal_M decimal(18, 2) null"
733,pension.PensionCreditRating,CaaBelow_CommLoan_MktVal_M,Caa and below - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_CommLoan_MktVal_M decimal(18, 2) null"
734,pension.PensionCreditRating,CaaBelow_CommLoan_ParVal_M,Caa and below - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_CommLoan_ParVal_M decimal(18, 2) null"
735,pension.PensionCreditRating,Unrated_CommLoan_MktVal_M,Unrated - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CommLoan_MktVal_M decimal(18, 2) null"
736,pension.PensionCreditRating,Unrated_CommLoan_ParVal_M,Unrated - Common loan,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CommLoan_ParVal_M decimal(18, 2) null"
737,pension.PensionCreditRating,Aaa_SecLendCol_MktVal_M,Aaa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_SecLendCol_MktVal_M decimal(18, 2) null"
738,pension.PensionCreditRating,Aaa_SecLendCol_ParVal_M,Aaa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_SecLendCol_ParVal_M decimal(18, 2) null"
739,pension.PensionCreditRating,Aa_SecLendCol_MktVal_M,Aa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_SecLendCol_MktVal_M decimal(18, 2) null"
740,pension.PensionCreditRating,Aa_SecLendCol_ParVal_M,Aa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_SecLendCol_ParVal_M decimal(18, 2) null"
741,pension.PensionCreditRating,A_SecLendCol_MktVal_M,A - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_SecLendCol_MktVal_M decimal(18, 2) null"
742,pension.PensionCreditRating,A_SecLendCol_ParVal_M,A - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_SecLendCol_ParVal_M decimal(18, 2) null"
743,pension.PensionCreditRating,Baa_SecLendCol_MktVal_M,Baa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_SecLendCol_MktVal_M decimal(18, 2) null"
744,pension.PensionCreditRating,Baa_SecLendCol_ParVal_M,Baa - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_SecLendCol_ParVal_M decimal(18, 2) null"
745,pension.PensionCreditRating,Ba_SecLendCol_MktVal_M,Ba - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_SecLendCol_MktVal_M decimal(18, 2) null"
746,pension.PensionCreditRating,Ba_SecLendCol_ParVal_M,Ba - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_SecLendCol_ParVal_M decimal(18, 2) null"
747,pension.PensionCreditRating,B_SecLendCol_MktVal_M,B - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_SecLendCol_MktVal_M decimal(18, 2) null"
748,pension.PensionCreditRating,B_SecLendCol_ParVal_M,B - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_SecLendCol_ParVal_M decimal(18, 2) null"
749,pension.PensionCreditRating,CaaBelow_SecLendCol_MktVal_M,Caa and below - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_SecLendCol_MktVal_M decimal(18, 2) null"
750,pension.PensionCreditRating,CaaBelow_SecLendCol_ParVal_M,Caa and below - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_SecLendCol_ParVal_M decimal(18, 2) null"
751,pension.PensionCreditRating,P1_SecLend_MktVal_M,P1 - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P1_SecLend_MktVal_M decimal(18, 2) null"
752,pension.PensionCreditRating,P1_SecLend_ParVal_M,P1 - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P1_SecLend_ParVal_M decimal(18, 2) null"
753,pension.PensionCreditRating,P2_SecLend_MktVal_M,P2 - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P2_SecLend_MktVal_M decimal(18, 2) null"
754,pension.PensionCreditRating,P2_SecLend_ParVal_M,P2 - Securities lending collateral,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P2_SecLend_ParVal_M decimal(18, 2) null"
755,pension.PensionCreditRating,Unrated_SecLendCol_MktVal_M,Unrated - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_SecLendCol_MktVal_M decimal(18, 2) null"
756,pension.PensionCreditRating,Unrated_SecLendCol_ParVal_M,Unrated - Global corporate fixed,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_SecLendCol_ParVal_M decimal(18, 2) null"
757,pension.PensionCreditRating,Aaa_Cash_MktVal_M,Aaa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_Cash_MktVal_M decimal(18, 2) null"
758,pension.PensionCreditRating,Aaa_Cash_ParVal_M,Aaa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_Cash_ParVal_M decimal(18, 2) null"
759,pension.PensionCreditRating,Aa_Cash_MktVal_M,Aa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_Cash_MktVal_M decimal(18, 2) null"
760,pension.PensionCreditRating,Aa_Cash_ParVal_M,Aa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_Cash_ParVal_M decimal(18, 2) null"
761,pension.PensionCreditRating,A_Cash_MktVal_M,A - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_Cash_MktVal_M decimal(18, 2) null"
762,pension.PensionCreditRating,A_Cash_ParVal_M,A - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_Cash_ParVal_M decimal(18, 2) null"
763,pension.PensionCreditRating,Baa_Cash_MktVal_M,Baa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_Cash_MktVal_M decimal(18, 2) null"
764,pension.PensionCreditRating,Baa_Cash_ParVal_M,Baa - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_Cash_ParVal_M decimal(18, 2) null"
765,pension.PensionCreditRating,GovGuaranteed_Cash_MktVal_M,U.S. government guaranteed - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column GovGuaranteed_Cash_MktVal_M decimal(18, 2) null"
766,pension.PensionCreditRating,GovGuaranteed_Cash_ParVal_M,U.S. government guaranteed - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column GovGuaranteed_Cash_ParVal_M decimal(18, 2) null"
767,pension.PensionCreditRating,P1_Cash_MktVal_M,P1 - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P1_Cash_MktVal_M decimal(18, 2) null"
768,pension.PensionCreditRating,P1_Cash_ParVal_M,P1 - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column P1_Cash_ParVal_M decimal(18, 2) null"
769,pension.PensionCreditRating,Unrated_Cash_MktVal_M,Unrated - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_Cash_MktVal_M decimal(18, 2) null"
770,pension.PensionCreditRating,Unrated_Cash_ParVal_M,Unrated - Cash,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_Cash_ParVal_M decimal(18, 2) null"
771,pension.PensionCreditRating,Aaa_ABS_MktVal_M,Aaa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_ABS_MktVal_M decimal(18, 2) null"
772,pension.PensionCreditRating,Aaa_ABS_ParVal_M,Aaa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_ABS_ParVal_M decimal(18, 2) null"
773,pension.PensionCreditRating,Aa_ABS_MktVal_M,Aa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_ABS_MktVal_M decimal(18, 2) null"
774,pension.PensionCreditRating,Aa_ABS_ParVal_M,Aa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_ABS_ParVal_M decimal(18, 2) null"
775,pension.PensionCreditRating,A_ABS_MktVal_M,A - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_ABS_MktVal_M decimal(18, 2) null"
776,pension.PensionCreditRating,A_ABS_ParVal_M,A - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_ABS_ParVal_M decimal(18, 2) null"
777,pension.PensionCreditRating,Baa_ABS_MktVal_M,Baa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_ABS_MktVal_M decimal(18, 2) null"
778,pension.PensionCreditRating,Baa_ABS_ParVal_M,Baa - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_ABS_ParVal_M decimal(18, 2) null"
779,pension.PensionCreditRating,Ba_ABS_MktVal_M,Ba - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_ABS_MktVal_M decimal(18, 2) null"
780,pension.PensionCreditRating,Ba_ABS_ParVal_M,Ba - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_ABS_ParVal_M decimal(18, 2) null"
781,pension.PensionCreditRating,B_ABS_MktVal_M,B - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_ABS_MktVal_M decimal(18, 2) null"
782,pension.PensionCreditRating,B_ABS_ParVal_M,B - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_ABS_ParVal_M decimal(18, 2) null"
783,pension.PensionCreditRating,CaaAndBelow_ABS_MktVal_M,Caa and below - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_ABS_MktVal_M decimal(18, 2) null"
784,pension.PensionCreditRating,CaaAndBelow_ABS_ParVal_M,Caa and below - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_ABS_ParVal_M decimal(18, 2) null"
785,pension.PensionCreditRating,Unrated_ABS_MktVal_M,Unrated - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_ABS_MktVal_M decimal(18, 2) null"
786,pension.PensionCreditRating,Unrated_ABS_ParVal_M,Unrated - Asset backed securities,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_ABS_ParVal_M decimal(18, 2) null"
787,pension.PensionCreditRating,Aaa_GovAg_MktVal_M,Aaa - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GovAg_MktVal_M decimal(18, 2) null"
788,pension.PensionCreditRating,Aaa_GovAg_ParVal_M,Aaa - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GovAg_ParVal_M decimal(18, 2) null"
